Date,Time,Temp,Humi,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:32,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:42,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:19:52,30.5,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:02,30.4,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:12,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:22,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:32,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:42,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:20:52,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:02,30.6,79,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:12,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:22,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:32,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:42,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:21:52,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:02,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:12,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:22,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:32,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:42,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:22:53,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:03,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:13,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:23,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:33,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:43,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:23:53,30.6,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:03,30.5,78,,,,,,,,,,,,,,,,,,,,,,
2024-06-10,20:24:13,30.5,78,,,,,,,,,,,,,,,,,,,,,,
